Date,Date,단기채로그,중기채로그,ksp로그,iau로그,dbc로그,vnq로그,nsd로그,상승,코스피,유동성기법,레버리지기법,그레이엄기법,린치기법,버핏기법,삼대투자기법,성장성기법,수익성기법,시장가치기법,활동성기법,단기채w,중기채w,kspw,iauw,dbcw,vnqw,nsdw,금액,kospi,유동성추이,레버리지추이,성장성추이,수익성추이,시장가치추이,활동성추이,그레이엄추이,린치추이,버핏추이,삼대투자추이
2019-02-19,2019-02-19,5.2550613860447e-05,0.0001409133011804,-0.0023819715613857,0.0141179054823328,0.0025110026889594,-0.0002349687375184,0.000683418307033,0.0,2205.6298828125,-0.0023819715613857,-0.0023819715613857,-0.0023819715613857,-0.0023819715613857,-0.0023819715613857,-0.0023819715613857,-0.0023819715613857,-0.0023819715613857,-0.0023819715613857,-0.0023819715613857,0.28864396,0.19826971,0.07593839,0.1808192,0.08332544,0.087186225,0.08581713,10000,10665.412249829555,11177.013443859447,10654.083317311717,10524.39548511336,10684.601368270947,10503.1924536265,10610.94597410159,10443.876508649497,10707.148022504714,10618.152296584109,10524.913968419862
2019-02-20,2019-02-20,5.33607491917109e-05,0.0001104613144473,0.010880831496622,-0.0007791374645891,0.0031298823777996,-0.0062495958047801,0.0029563067550144,0.0,2229.76000976562,0.010880831496622,0.010880831496622,0.010880831496622,0.010880831496622,0.010880831496622,0.010880831496622,0.010880831496622,0.010880831496622,0.010880831496622,0.010880831496622,0.28864396,0.19826971,0.07593839,0.1808192,0.08332544,0.087186225,0.08581713,10000,10672.871865970152,11184.830884754974,10661.535009755986,10531.75647112982,10692.074405689062,10510.538609791829,10618.36749537065,10451.181177981483,10714.636829532283,10625.578858108365,10532.275317074571
2019-02-21,2019-02-21,3.95687964900304e-05,-0.0001061364853534,-0.0004934921778811,-0.0125491723263486,0.0031200564005464,0.0009456326453634,-0.0001135952449491,0.0,2228.65991210937,-0.0004934921778811,-0.0004934921778811,-0.0004934921778811,-0.0004934921778811,-0.0004934921778811,-0.0004934921778811,-0.0004934921778811,-0.0004934921778811,-0.0004934921778811,-0.0004934921778811,0.28864396,0.19826971,0.07593839,0.1808192,0.08332544,0.087186225,0.08581713,10000,10651.858462228278,11162.809504744286,10640.543926710901,10511.020904019286,10671.023194811016,10489.84481770609,10597.46140317149,10430.604252442574,10693.541196372442,10604.658567736618,10511.538728428368
2019-02-22,2019-02-22,5.24816235927261e-05,3.32386252814842e-05,0.0008253070225512,0.0047243762552051,0.0024891874827255,0.0058916819567524,0.0109536830054022,0.0,2230.5,0.0008253070225512,0.0008253070225512,0.0008253070225512,0.0008253070225512,0.0008253070225512,0.0008253070225512,0.0008253070225512,0.0008253070225512,0.0008253070225512,0.0008253070225512,0.28864396,0.19826971,0.07593839,0.1808192,0.08332544,0.087186225,0.08581713,10000,10679.647170051618,11191.931188337334,10668.30311702584,10538.442192976752,10698.861899839645,10517.210862212323,10625.10819923493,10457.815749386496,10721.438646658378,10632.324139857212,10538.961368292934
2019-02-25,2019-02-25,0.0001324766651933,-0.0001855175698555,0.000923159766172,-0.0007857977050673,-0.0150284337051593,-0.0079027005936449,0.0122783242213708,0.0,2232.56005859375,0.000923159766172,0.000923159766172,0.000923159766172,0.000923159766172,0.000923159766172,0.000923159766172,0.000923159766172,0.000923159766172,0.000923159766172,0.000923159766172,0.28864396,0.19826971,0.07593839,0.1808192,0.08332544,0.087186225,0.08581713,10000,10669.615004489657,11181.41779731873,10658.281607753952,10528.54267146994,10688.811684491266,10507.331284831187,10615.127266075699,10447.991966133757,10711.367223337644,10622.336428242676,10529.06135908717
2019-02-26,2019-02-26,7.81831494265361e-05,0.0003631269855741,-0.0026731331809752,0.0007857977050673,0.004406677212958,-0.0030833408038368,0.0105938405488261,0.0,2226.60009765625,-0.0026731331809752,-0.0026731331809752,-0.0026731331809752,-0.0026731331809752,-0.0026731331809752,-0.0026731331809752,-0.0026731331809752,-0.0026731331809752,-0.0026731331809752,-0.0026731331809752,0.28864396,0.19826971,0.07593839,0.1808192,0.08332544,0.087186225,0.08581713,10000,10680.792570955686,11193.13153212185,10669.447301270933,10539.572449531404,10700.009361539218,10518.338841689365,10626.247750789718,10458.93735868905,10722.588529732533,10633.464465327543,10540.091680529564
2019-02-27,2019-02-27,5.29967377076445e-05,0.0001513520553775,0.0036714792273881,-0.0063041915920551,0.0050125126089293,-0.0050012179061775,-0.0032985463239665,0.0,2234.7900390625,0.0036714792273881,0.0036714792273881,0.0036714792273881,0.0036714792273881,0.0036714792273881,0.0036714792273881,0.0036714792273881,0.0036714792273881,0.0036714792273881,0.0036714792273881,0.28864396,0.19826971,0.07593839,0.1808192,0.08332544,0.087186225,0.08581713,10000,10668.931688946092,11180.701704322235,10657.599018036588,10527.868390640177,10688.127139532222,10506.658362445018,10614.447440097461,10447.322844023305,10710.681233851286,10621.656140567127,10528.387045039028
2019-02-28,2019-02-28,5.67441046381844e-05,-0.0001358095197403,-0.0177648260681442,-0.0055489398102261,-0.0025031460030411,0.0026227516078503,0.0084444220049153,0.0,2195.43994140625,-0.0177648260681442,-0.0177648260681442,-0.0177648260681442,-0.0177648260681442,-0.0177648260681442,-0.0177648260681442,-0.0177648260681442,-0.0177648260681442,-0.0177648260681442,-0.0177648260681442,0.28864396,0.19826971,0.07593839,0.1808192,0.08332544,0.087186225,0.08581713,10000,10651.863640729609,11162.81493164928,10640.549099711565,10511.026014051113,10671.028382629464,10489.849917442965,10597.466555227178,10430.609323379087,10693.546395138226,10604.663723291278,10511.543838711941
2019-03-04,2019-03-04,0.0001934784435686,-0.0001173342524101,-0.0021796271625911,-0.0024301132640371,0.0031636090566888,0.0045280532021045,-0.020204953647938,0.0,2190.65991210937,-0.0021796271625911,-0.0021796271625911,-0.0021796271625911,-0.0021796271625911,-0.0021796271625911,-0.0021796271625911,-0.0021796271625911,-0.0021796271625911,-0.0021796271625911,-0.0021796271625911,0.28864396,0.19826971,0.07593839,0.1808192,0.08332544,0.087186225,0.08581713,10000,10634.518184035489,11144.637443698624,10623.222067575613,10493.909896845073,10653.651718138108,10472.76828331698,10580.209678552734,10413.624156424812,10676.133062395758,10587.395126774072,10494.42687828207
2019-03-05,2019-03-05,5.31459835375613e-05,4.89409285790998e-05,-0.0052312337323643,0.0008107198539635,0.0050409391022241,0.0027305847887699,-0.0157640290825993,0.0,2179.22998046875,-0.0052312337323643,-0.0052312337323643,-0.0052312337323643,-0.0052312337323643,-0.0052312337323643,-0.0052312337323643,-0.0052312337323643,-0.0052312337323643,-0.0052312337323643,-0.0052312337323643,0.28864396,0.19826971,0.07593839,0.1808192,0.08332544,0.087186225,0.08581713,10000,10624.870713320148,11134.527200666402,10613.584844522728,10484.389983797088,10643.986889776023,10463.267549614391,10570.611475675125,10404.177077361042,10666.44783930524,10577.790405368767,10484.906496236505
